is_recid,race,age,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,v_decile_score,start,end,event,sex_Female,sex_Male,age_cat_25 - 45,age_cat_Greater than 45,age_cat_Less than 25,c_charge_degree_F,c_charge_degree_M,type_of_assessment_Risk of Recidivism,score_text_High,score_text_Low,score_text_Medium,v_type_of_assessment_Risk of Violence
0.0,0.0,0.7846153846153846,0.0,0.1818181818181818,0.0,0.0,0.0,0.0001054296257248,0.0,0.0,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0,0.2461538461538461,0.0,0.3636363636363636,0.0,0.0,0.0,0.0001054296257248,0.0,0.0133928571428571,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0769230769230769,0.0,0.8181818181818182,0.125,0.0,0.0263157894736842,0.0001054296257248,0.5555555555555556,0.0,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.3846153846153847,0.0,0.1818181818181818,0.0,0.0,0.0526315789473684,0.0080126515550869,0.0,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.4,0.0,0.1818181818181818,0.0,0.0,0.0,0.0,0.0,0.0014880952380952,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.3846153846153847,0.0,0.4545454545454546,0.0,0.0,0.0789473684210526,0.0001054296257248,0.2222222222222222,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,0.3230769230769231,0.0,0.1818181818181818,0.0,0.0,0.0,0.0001054296257248,0.0,0.0029761904761904,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,1.0,0.0461538461538461,0.0,0.3636363636363636,0.0,0.0,0.0263157894736842,0.0324723247232472,0.4444444444444445,0.0,1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,0.1384615384615384,0.0,0.4545454545454546,0.0,0.0,0.0,0.0001054296257248,0.3333333333333333,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,0.2923076923076922,0.0,0.1818181818181818,0.0,0.0,0.0,0.0,0.0,0.0014880952380952,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.3538461538461538,0.0,0.4545454545454546,0.0,0.0,0.0,0.0001054296257248,0.1111111111111111,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.2923076923076922,0.0,0.1818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.1076923076923077,0.0,1.0,0.0,0.0,0.0789473684210526,0.0001054296257248,0.8888888888888888,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,1.0,0.2,0.0,0.5454545454545455,0.0,0.0,0.1578947368421052,0.0001054296257248,0.3333333333333333,0.0,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0461538461538461,0.0,0.4545454545454546,0.0,0.0,0.0,0.0002108592514496,0.4444444444444445,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,0.3846153846153847,0.0,0.1818181818181818,0.0,0.0,0.0263157894736842,0.0001054296257248,0.1111111111111111,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.2153846153846154,0.0,0.3636363636363636,0.0,0.0,0.0,0.0001054296257248,0.3333333333333333,0.0014880952380952,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0,0.1384615384615384,0.0,0.3636363636363636,0.0,0.0,0.2105263157894736,0.0001054296257248,0.2222222222222222,0.0238095238095238,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,0.2769230769230769,0.0,0.3636363636363636,0.0,0.0,0.0789473684210526,0.0100158144438587,0.0,0.0,1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0,0.2307692307692307,0.0,1.0,0.0,0.0,0.0,0.0001054296257248,0.5555555555555556,0.056547619047619,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.5692307692307693,0.0,0.1818181818181818,0.0,0.0,0.0,0.0001054296257248,0.0,0.0014880952380952,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,0.123076923076923,0.0,0.8181818181818182,0.0,0.1176470588235294,0.1578947368421052,0.0402741170268845,0.7777777777777777,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.1692307692307692,0.0,0.2727272727272727,0.0,0.0,0.0,0.0001054296257248,0.1111111111111111,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0461538461538461,0.0,0.8181818181818182,0.0,0.0,0.0526315789473684,0.0001054296257248,0.7777777777777777,0.1175595238095238,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.5076923076923078,0.0,0.1818181818181818,0.0,0.0,0.0526315789473684,0.0001054296257248,0.0,0.0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.5076923076923078,0.0,0.2727272727272727,0.0,0.0,0.1842105263157894,0.0001054296257248,0.1111111111111111,0.0014880952380952,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,1.0,0.1076923076923077,0.0,1.0,0.0,0.0,0.2368421052631578,0.0001054296257248,0.8888888888888888,0.0089285714285714,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,0.2615384615384616,0.05,0.8181818181818182,0.0,0.2352941176470588,0.3421052631578947,0.0001054296257248,0.2222222222222222,0.0,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.4769230769230769,0.0,0.1818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.1692307692307692,0.0,0.4545454545454546,0.0,0.0,0.0,0.0001054296257248,0.2222222222222222,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.1538461538461538,0.0,0.2727272727272727,0.0,0.0,0.0,0.0001054296257248,0.1111111111111111,0.0,1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.6923076923076924,0.0,0.1818181818181818,0.0,0.0,0.0263157894736842,0.0230890880337374,0.0,0.0,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0,0.2,0.0,0.5454545454545455,0.0,0.0588235294117647,0.3947368421052631,0.0001054296257248,0.6666666666666665,0.2008928571428571,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.1846153846153846,0.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.2222222222222222,0.0342261904761904,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.4769230769230769,0.0,0.1818181818181818,0.0,0.0,0.1052631578947368,0.0001054296257248,0.0,0.0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,0.5384615384615384,0.0,0.5454545454545455,0.0,0.0,0.2105263157894736,0.0013705851344227,0.1111111111111111,0.0,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.2615384615384616,0.0,0.3636363636363636,0.0,0.0,0.131578947368421,0.0001054296257248,0.1111111111111111,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.676923076923077,0.0,0.1818181818181818,0.0,0.0,0.0,0.0001054296257248,0.0,0.0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.2307692307692307,0.0,0.1818181818181818,0.0,0.0,0.0,0.0001054296257248,0.0,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
